Kanji,Reading,JLPT,Type,Meaning
['虚弱'],[['きょじゃく']],1,"['&adj-na;', '&adj-no;', '&n;']","['feebleness', 'weakness', 'imbecility']"
['虚飾'],[['きょしょく']],1,"['&n;', '&adj-no;']","['ostentation', 'show', 'affectation']"
['虚像'],[['きょぞう']],1,"['&n;', '&adj-no;']",['virtual image']
['享楽的'],[['きょうらくてき']],1,['&adj-na;'],['pleasure-seeking']
['共産主義'],[['きょうさんしゅぎ']],1,"['&n;', '&adj-no;']","['communism', 'collectivism']"
['共和主義'],[['きょうわしゅぎ']],1,"['&n;', '&adj-no;']",['republicanism']
['凶作'],[['きょうさく']],1,"['&n;', '&adj-no;']","['bad harvest', 'poor crop']"
['峡部'],[['きょうぶ']],1,"['&n;', '&adj-no;']",['isthmus']
['強壮'],[['きょうそう']],1,"['&adj-na;', '&adj-no;', '&n;']","['able-bodied', 'robust', 'sturdy', 'strong']"
['強膜'],[['きょうまく']],1,"['&n;', '&adj-no;']",['sclera']
['恭しい'],[['うやうやしい']],1,['&adj-i;'],"['polite', 'respectful', 'reverent']"
['狂おしい'],[['くるおしい']],1,['&adj-i;'],"['mad (with grief, love, etc.)', 'crazy', ""out of one's mind"", 'on the verge of insanity']"
['狂気'],[['きょうき']],1,"['&n;', '&adj-no;']","['madness', 'insanity']"
['狂人'],[['きょうじん']],1,"['&n;', '&adj-no;']","['lunatic', 'madman']"
['狭軌'],[['きょうき']],1,"['&n;', '&adj-no;']",['narrow gauge']
['狭義'],[['きょうぎ']],1,"['&n;', '&adj-no;']",['narrow sense (e.g. of a word)']
['胸郭'],[['きょうかく']],1,"['&n;', '&adj-no;']","['chest', 'thorax']"
['胸膜'],[['きょうまく']],1,"['&n;', '&adj-no;']",['pleura']
['脅迫的'],[['きょうはくてき']],1,['&adj-na;'],"['menacing', 'threatening']"
['興ざめ'],[['きょうざめ']],1,"['&n;', '&adj-na;', '&vs;']","['spoiled fun', 'loss of interest', 'damper (e.g. on the party)', 'wet blanket', 'turn-off']"
['興味深い'],[['きょうみぶかい']],1,['&adj-i;'],"['very interesting', 'of great interest']"
['興味本位'],[['きょうみほんい']],1,"['&adj-na;', '&adj-no;']","['(just) out of curiosity', ""(just) in order to satisfy one's curiosity"", 'aimed chiefly at amusing', 'sensational (e.g. magazine)']"
['驚異'],[['きょうい']],1,"['&n;', '&adj-no;']","['wonder', 'miracle', 'amazement', 'prodigy']"
['驚天動地'],[['きょうてんどうち']],1,"['&n;', '&adj-no;']","['astounding', 'startling', 'world-shaking', 'amazing', 'earth-shattering']"
['驚愕'],[['きょうがく']],1,"['&n;', '&adj-no;', '&vs;']","['astonishment', 'amazement', 'surprise', 'fright', 'shock']"
['凝った'],[['こった']],1,['&adj-f;'],"['elaborate', 'exquisite', 'ornate', 'refined', 'sophisticated']"
['凝り性'],[['こりしょう']],1,"['&adj-na;', '&adj-no;', '&n;']","['fastidiousness', 'enthusiasm for one thing', 'meticulousness', 'monomania', 'obsession']"
['凝塊'],[['ぎょうかい']],1,"['&n;', '&adj-no;']",['clot']
['極端'],[['きょくたん']],1,"['&n;', '&adj-na;']","['extreme', 'extremity']"
['極秘'],[['ごくひ']],1,"['&adj-na;', '&adj-no;', '&n;']",['absolute secrecy']
['極微'],"[['きょくび'], ['ごくび']]",1,"['&adj-na;', '&adj-no;', '&n;']","['microscopic', 'infinitesimal']"
['筋交い'],[['すじかい']],1,"['&n;', '&adj-no;']","['diagonal', 'oblique', 'brace']"
['筋目'],[['すじめ']],1,"['&n;', '&adj-no;']","['fold', 'crease']"
['緊急'],[['きんきゅう']],1,"['&n;', '&adj-no;', '&adj-na;']","['urgency', 'emergency']"
